Experiment_ID,TSNE_1,TSNE_2,Cluster,Title
Experiment_191,-3.1221898,-9.93719,-1,Development of MMseqs2
Experiment_192,-3.1783304,-9.880682,-1,MMseqs2 Protein Annotation
Experiment_193,-3.1246977,-9.935197,-1,Benchmark with Full-Length Sequences
Experiment_194,-3.1937182,-9.861908,-1,Sensitivity-Speed Trade-off
Experiment_195,-3.1185536,-9.941431,-1,OM-RGC Gene Matching with MMseqs2
Experiment_196,-3.1050403,-9.954435,-1,Annotating Unannotated Sequences
Experiment_197,-3.0654204,-9.993174,-1,Pfam Domain Annotation with MMseqs2
Experiment_198,4.250914,-8.21662,-1,Categorical Jacobian calculation
Experiment_199,7.419288,4.888817,-1,Sequence masking strategies comparison
Experiment_200,6.547977,-0.9523765,-1,Language Models Predict Unrealistic Structures for Protein Isoforms
Experiment_201,3.8390021,-7.883895,-1,Unsupervised Method of Extracting Coevolutionary Signal
Experiment_202,4.251421,-8.202955,-1,Categorical Jacobian Perturbation in ESM-2
Experiment_203,6.56876,-0.96869195,-1,Isoform Structure Prediction
Experiment_204,3.8108075,-7.8696,-1,Pairwise Coevolutionary Weights Comparison
Experiment_205,4.5581355,-7.97878,-1,Contact Prediction Accuracy Comparison
Experiment_206,3.7475452,-7.83637,-1,Pairwise Coupling Weights Correlation
Experiment_207,4.2843847,-8.160453,-1,Categorical Jacobian Calculation
Experiment_208,7.459382,4.890713,-1,Contact Prediction with Masked Sequences
Experiment_209,7.1307197,4.628276,-1,Contact Recovery in Distant SSEs
Experiment_210,7.597926,4.7824893,-1,Contact Recovery from Flanking Unmasking
Experiment_211,7.1523023,4.729986,-1,ESM-2 Contact Prediction for SusD
Experiment_212,7.3428874,4.367637,-1,Prevalence of Contact Recovery Jump
Experiment_213,7.441194,4.372204,-1,Total Unmasked Residues for Recovery Jumps
Experiment_214,7.3327837,4.879335,-1,Unmasking Residues to Predict Contacts
Experiment_215,6.5259013,-0.92559916,-1,Isoform Dataset Curation and Analysis
Experiment_217,4.616935,-7.9169626,-1,Long-Range Contact Prediction Accuracy
Experiment_218,4.3882256,-8.197804,-1,Language Model Contact Map via Jacobian
Experiment_219,3.7733579,-7.824834,-1,Correlation Evaluation between ESM-2 and Linear Model
Experiment_220,7.0998015,4.529377,-1,Recovery of Contact with Increasing Flanking Region
Experiment_221,7.523174,4.732967,-1,Unmasking Recovery Comparison
Experiment_222,7.414223,4.311368,-1,Analysis of Step-Function Behavior
Experiment_223,6.7307434,-1.1276273,-1,Assessing functional relevance of splice isoforms
Experiment_232,6.709218,-1.1061021,-1,Isoform identification for human transcriptome
Experiment_552,-3.2054336,-9.854119,-1,Development of MMseqs2
Experiment_553,-3.154375,-9.904957,-1,MMseqs2 Protein Annotation
Experiment_554,-3.1430233,-9.916798,-1,Benchmark with Full-Length Sequences
Experiment_555,-3.1836085,-9.872362,-1,Sensitivity-Speed Trade-off
Experiment_556,-3.1820107,-9.878019,-1,OM-RGC Gene Matching with MMseqs2
Experiment_557,-3.1040099,-9.956029,-1,Annotating Unannotated Sequences
Experiment_558,-3.0796711,-9.979037,-1,Pfam Domain Annotation with MMseqs2
Experiment_559,4.2882996,-8.213634,-1,Categorical Jacobian calculation
Experiment_560,7.4690065,4.950801,-1,Sequence masking strategies comparison
Experiment_561,6.525018,-0.9291989,-1,Language Models Predict Unrealistic Structures for Protein Isoforms
Experiment_562,3.8611424,-7.9047227,-1,Unsupervised Method of Extracting Coevolutionary Signal
Experiment_563,4.2568007,-8.213208,-1,Categorical Jacobian Perturbation in ESM-2
Experiment_564,6.5339036,-0.9341061,-1,Isoform Structure Prediction
Experiment_565,3.8234515,-7.8760986,-1,Pairwise Coevolutionary Weights Comparison
Experiment_566,4.561556,-7.954552,-1,Contact Prediction Accuracy Comparison
Experiment_567,3.7479727,-7.8062673,-1,Pairwise Coupling Weights Correlation
Experiment_568,4.354309,-8.193694,-1,Categorical Jacobian Calculation
Experiment_569,7.405125,4.9452195,-1,Contact Prediction with Masked Sequences
Experiment_570,7.1054516,4.615784,-1,Contact Recovery in Distant SSEs
Experiment_571,7.574871,4.7876916,-1,Contact Recovery from Flanking Unmasking
Experiment_572,7.146005,4.7101383,-1,ESM-2 Contact Prediction for SusD
Experiment_573,7.3638005,4.3743086,-1,Prevalence of Contact Recovery Jump
Experiment_574,7.3842716,4.385419,-1,Total Unmasked Residues for Recovery Jumps
Experiment_575,7.3305173,4.882746,-1,Unmasking Residues to Predict Contacts
Experiment_576,6.580259,-0.98014265,-1,Isoform Dataset Curation and Analysis
Experiment_578,4.605754,-7.928433,-1,Long-Range Contact Prediction Accuracy
Experiment_579,4.2933517,-8.257281,-1,Language Model Contact Map via Jacobian
Experiment_580,3.7589962,-7.782543,-1,Correlation Evaluation between ESM-2 and Linear Model
Experiment_581,7.1290636,4.5297155,-1,Recovery of Contact with Increasing Flanking Region
Experiment_582,7.560369,4.741321,-1,Unmasking Recovery Comparison
Experiment_583,7.416608,4.2811947,-1,Analysis of Step-Function Behavior
Experiment_584,6.711218,-1.1079537,-1,Assessing functional relevance of splice isoforms
Experiment_593,6.722295,-1.118986,-1,Isoform identification for human transcriptome
